iter	Passed	Remaining
801	1613	398
802	1615	396
803	1619	394
804	1631	395
805	1633	393
806	1635	391
807	1638	389
808	1641	387
809	1646	386
810	1648	384
811	1650	382
812	1661	382
813	1663	380
814	1666	378
815	1670	376
816	1674	375
817	1676	372
818	1678	370
819	1681	369
820	1686	367
821	1691	366
822	1695	364
823	1699	362
824	1704	361
825	1706	359
826	1708	357
827	1709	355
828	1712	353
829	1714	351
830	1716	349
831	1718	347
832	1720	344
833	1722	342
834	1723	340
835	1725	338
836	1726	336
837	1728	334
838	1730	332
839	1732	330
840	1735	328
841	1736	325
842	1738	323
843	1739	321
844	1743	319
845	1746	317
846	1749	315
847	1750	313
848	1752	311
849	1754	309
850	1758	307
851	1767	307
852	1776	306
853	1778	304
854	1794	304
855	1796	302
856	1799	300
857	1807	299
858	1809	296
859	1811	294
860	1813	292
861	1816	290
862	1820	288
863	1822	286
864	1824	284
865	1827	282
866	1831	280
867	1833	278
868	1835	276
869	1837	274
870	1839	272
871	1841	270
872	1843	268
873	1847	266
874	1851	264
875	1853	262
876	1855	260
877	1857	258
878	1860	256
879	1863	254
880	1865	252
881	1868	249
882	1870	247
883	1872	245
884	1874	243
885	1876	241
886	1878	239
887	1881	237
888	1883	235
889	1886	233
890	1889	231
891	1891	229
892	1894	226
893	1896	224
894	1899	222
895	1904	221
896	1909	219
897	1912	217
898	1921	215
899	1924	213
900	1926	211
901	1931	209
902	1943	208
903	1944	206
904	1946	204
905	1949	202
906	1951	200
907	1955	198
908	1957	195
909	1960	193
910	1963	191
911	1965	189
912	1967	187
913	1969	185
914	1970	183
915	1972	180
916	1973	178
917	1976	176
918	1981	174
919	1997	173
920	2002	171
921	2005	169
922	2006	167
923	2010	165
924	2013	163
925	2015	161
926	2017	158
927	2018	156
928	2020	154
929	2021	152
930	2024	150
931	2027	147
932	2032	145
933	2034	143
934	2036	141
935	2037	139
936	2043	137
937	2046	135
938	2048	133
939	2050	130
940	2053	128
941	2061	126
942	2064	124
943	2075	123
944	2080	121
945	2081	118
946	2087	116
947	2089	114
948	2091	112
949	2093	110
950	2095	107
951	2096	105
952	2100	103
953	2103	101
954	2104	99
955	2106	96
956	2107	94
957	2108	92
958	2110	90
959	2112	88
960	2114	85
961	2116	83
962	2118	81
963	2120	79
964	2121	76
965	2123	74
966	2124	72
967	2125	70
968	2128	68
969	2131	65
970	2133	63
971	2135	61
972	2137	59
973	2138	57
974	2140	54
975	2143	52
976	2146	50
977	2148	48
978	2150	46
979	2152	43
980	2153	41
981	2155	39
982	2159	37
983	2161	35
984	2163	32
985	2165	30
986	2167	28
987	2168	26
988	2172	24
989	2174	21
990	2176	19
991	2178	17
992	2180	15
993	2181	13
994	2182	10
995	2184	8
996	2186	6
997	2188	4
998	2191	2
999	2192	0
